masked_sentence	mask_token_str	mapping_type	learnerl1	learnerRawScore	annotationErrorType	incorrect_token	incorrect_token_idx	incorrect_token_length	incorrect_token_pos
which is special place in the town we lefet just for [MASK] area , but of course with all the facilities to get there like a big supermarket , and mall centre in different areas of the city .	[MASK]	replacement_correction	Spanish	20.0	S	comerical	11	9	JJ
which is special place in the town we lefet just for comerical area , but of course with all the facilities to get there like a big supermarket , and mall centre [MASK] different areas of the city .	[MASK]	replacement_correction	Spanish	20.0	RT	in	32	2	IN
First the telegraph and the radio [MASK] now TV , the telephone and the Internet allowed people be in contact with others really quickly and distances arent now so difficult of overcome .	[MASK]	replacement_correction	Spanish	26.0	R	an	6	2	DT
First the telegraph and the radio an now TV , the telephone and the Internet [MASK] people be in contact with others really quickly and distances arent now so difficult of overcome .	[MASK]	replacement_correction	Spanish	26.0	TV	allowed	15	7	VBD
First the telegraph and the radio an now TV , the telephone and the Internet allowed people [MASK] in contact with others really quickly and distances arent now so difficult of overcome .	[MASK]	replacement_correction	Spanish	26.0	FV	be	17	2	VB
First the telegraph and the radio an now TV , the telephone and the Internet allowed people be in contact with others really quickly and distances [MASK] now so difficult of overcome .	[MASK]	replacement_correction	Spanish	26.0	MP	arent	26	5	NN
First the telegraph and the radio an now TV , the telephone and the Internet allowed people be in contact with others really quickly and distances arent now so difficult of [MASK] .	[MASK]	replacement_correction	Spanish	26.0	FV	overcome	31	8	NN
[MASK] about the ticket advertisment saids ' Discouts Available ' but no way I had to pad full £ 20.00 and restaurant was closed because of rebuilding something .	[MASK]	replacement_correction	Korean	22.0	MP	lastly	0	6	RB
lastly about the ticket advertisment [MASK] ' Discouts Available ' but no way I had to pad full £ 20.00 and restaurant was closed because of rebuilding something .	[MASK]	replacement_correction	Korean	22.0	IV	saids	5	5	NNS
lastly about the ticket advertisment saids ' [MASK] Available ' but no way I had to pad full £ 20.00 and restaurant was closed because of rebuilding something .	[MASK]	replacement_correction	Korean	22.0	S	Discouts	7	8	NNP
lastly about the ticket advertisment saids ' Discouts Available ' but no way I had to [MASK] full £ 20.00 and restaurant was closed because of rebuilding something .	[MASK]	replacement_correction	Korean	22.0	SX	pad	16	3	VB
I really enjoyed [MASK] serve the drinks to the pop-stars .	[MASK]	replacement_correction	French	28.0	FV	to	3	2	TO
I really enjoyed to [MASK] the drinks to the pop-stars .	[MASK]	replacement_correction	French	28.0	FV	serve	4	5	VB
[MASK] , write me soon , huge hug and kisses	[MASK]	replacement_correction	Italian	29.0	RP	Ok	0	2	NNP
I am writing to thank you for the first prize in your competition and [MASK] to your letter .	[MASK]	replacement_correction	Korean	20.0	FV	reply	14	5	NN
Firstly , I can take my holiday only the [MASK] first week of july because of my work .	[MASK]	replacement_correction	French	24.0	W	two	9	3	CD
Firstly , I can take my holiday only the two [MASK] week of july because of my work .	[MASK]	replacement_correction	French	24.0	W	first	10	5	JJ
Firstly , I can take my holiday only the two first [MASK] of july because of my work .	[MASK]	replacement_correction	French	24.0	AGN	week	11	4	NN
Firstly , I can take my holiday only the two first week of [MASK] because of my work .	[MASK]	replacement_correction	French	24.0	RP	july	13	4	NN
Nowadays the modern technology is [MASK] and it was really affecting our daily life .	[MASK]	replacement_correction	Portuguese	26.0	RV	increasing	5	10	VBG
Nowadays the modern technology is increasing and it [MASK] really affecting our daily life .	[MASK]	replacement_correction	Portuguese	26.0	RV	was	8	3	VBD
[MASK] we should try to understand tecnology ,	[MASK]	replacement_correction	Spanish	22.0	DY	Definitly	0	9	RB
Definitly we should try to understand [MASK] ,	[MASK]	replacement_correction	Spanish	22.0	S	tecnology	6	9	NN
Definitly we should try to understand tecnology [MASK]	[MASK]	replacement_correction	Spanish	22.0	RP	,	7	1	,
[MASK] we know how to use it , tecnology will improve our way of life .	[MASK]	replacement_correction	Spanish	22.0	RP	if	0	2	IN
if we know how to use it , [MASK] will improve our way of life .	[MASK]	replacement_correction	Spanish	22.0	S	tecnology	8	9	NN
I arrived [MASK] Ireland on 2th July .	[MASK]	replacement_correction	Spanish	29.0	RT	at	2	2	IN
I arrived at Ireland on [MASK] July .	[MASK]	replacement_correction	Spanish	29.0	RP	2th	5	3	CD
If you have any ideas about bigger halls , it [MASK] be better .	[MASK]	replacement_correction	French	23.00	TV	will	10	4	MD
If you have any ideas about bigger halls , it will [MASK] better .	[MASK]	replacement_correction	French	23.00	TV	be	11	2	VB
It is a very common [MASK] these days and you have to be patient if you really want to buy something .	[MASK]	replacement_correction	Portuguese	34.0	RN	fact	5	4	NN
He has a [MASK] , that was more like a brother for him .	[MASK]	replacement_correction	Portuguese	20.0	RP	bestfriend	3	10	NN
He has a bestfriend , [MASK] was more like a brother for him .	[MASK]	replacement_correction	Portuguese	20.0	RA	that	5	4	WDT
He has a bestfriend , that was more like a brother [MASK] him .	[MASK]	replacement_correction	Portuguese	20.0	RT	for	11	3	IN
I [MASK] recollected all answers and I have made this article .	[MASK]	replacement_correction	Spanish	23.0	RV	have	1	4	VBP
I have [MASK] all answers and I have made this article .	[MASK]	replacement_correction	Spanish	23.0	RV	recollected	2	11	VBN
I have recollected all answers and I have [MASK] this article .	[MASK]	replacement_correction	Spanish	23.0	RV	made	8	4	VBN
To sum up , there are both [MASK] and negatives aspects of the modern technology , because it can makes our lives easy but at the same time it is causing lots of problems for us .	[MASK]	replacement_correction	Portuguese	26.0	IJ	positives	7	9	NNS
To sum up , there are both positives and [MASK] aspects of the modern technology , because it can makes our lives easy but at the same time it is causing lots of problems for us .	[MASK]	replacement_correction	Portuguese	26.0	IJ	negatives	9	9	NNS
To sum up , there are both positives and negatives aspects [MASK] the modern technology , because it can makes our lives easy but at the same time it is causing lots of problems for us .	[MASK]	replacement_correction	Portuguese	26.0	RT	of	11	2	IN
To sum up , there are both positives and negatives aspects of the modern technology , because it can [MASK] our lives easy but at the same time it is causing lots of problems for us .	[MASK]	replacement_correction	Portuguese	26.0	AGV	makes	19	5	VBZ
I am lucky if I [MASK] find something which fits .	[MASK]	replacement_correction	German	28.0	TV	will	5	4	MD
I am lucky if I will [MASK] something which fits .	[MASK]	replacement_correction	German	28.0	TV	find	6	4	VB
This [MASK] on and on , got more and more serious but it was so secret that teachers did n't notice .	[MASK]	replacement_correction	Turkish	31.0	S	whent	1	5	NN
From my point of view I can complain only [MASK] a small concert hall and there were artist from only six countries .	[MASK]	replacement_correction	Russian	24.00	RT	on	9	2	IN
From my point of view I can complain only on [MASK] small concert hall and there were artist from only six countries .	[MASK]	replacement_correction	Russian	24.00	RD	a	10	1	DT
From my point of view I can complain only on a small concert hall and there were [MASK] from only six countries .	[MASK]	replacement_correction	Russian	24.00	AGN	artist	17	6	NN
This is the most [MASK] disadvantage technology has .	[MASK]	replacement_correction	Spanish	23.0	DJ	terribly	4	8	JJ
My confession caused a disaster in [MASK] life of her and her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	R	the	6	3	DT
My confession caused a disaster in the [MASK] of her and her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	R	life	7	4	NN
My confession caused a disaster in the life [MASK] her and her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	R	of	8	2	IN
My confession caused a disaster in the life of [MASK] and her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	R	her	9	3	PRP$
My confession caused a disaster in the life of her [MASK] her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	R	and	10	3	CC
My confession caused a disaster in the life of her and her family , and they called the police to take me [MASK] of the planet or arrested , so that I ca n't see her again .	[MASK]	replacement_correction	Spanish	23.0	RY	out	22	3	IN
My confession caused a disaster in the life of her and her family , and they called the police to take me out of the planet or arrested , so that I [MASK] n't see her again .	[MASK]	replacement_correction	Spanish	23.0	TV	ca	32	2	MD
My confession caused a disaster in the life of her and her family , and they called the police to take me out of the planet or arrested , so that I ca [MASK] see her again .	[MASK]	replacement_correction	Spanish	23.0	TV	n't	33	3	RB
On the positive side , if I am bored , the first thing that I want to do is [MASK] television or listening to music .	[MASK]	replacement_correction	Spanish	27.0	FV	watching	19	8	VBG
On the positive side , if I am bored , the first thing that I want to do is watching television or [MASK] to music .	[MASK]	replacement_correction	Spanish	27.0	FV	listening	22	9	VBG
It happened to me once that I wanted to go on [MASK] , so I went to the travel agency .	[MASK]	replacement_correction	Spanish	24.0	FN	holidays	11	8	NNS
Firstly , you have to queue for a long time to get a free [MASK] and waste of time putting on some clothes and in the end they are not the right size .	[MASK]	replacement_correction	French	24.0	RN	cabin	14	5	NN
Firstly , you have to queue for a long time to get a free cabin and waste of time putting on some clothes [MASK] in the end they are not the right size .	[MASK]	replacement_correction	French	24.0	RC	and	23	3	CC
In other words , what they will [MASK] , is most interested in us , I mean it 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	RV	introduce	7	9	VB
In other words , what they will introduce , is [MASK] interested in us , I mean it 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	L	most	10	4	RBS
In other words , what they will introduce , is most [MASK] in us , I mean it 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	RJ	interested	11	10	JJ
In other words , what they will introduce , is most interested [MASK] us , I mean it 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	RJ	in	12	2	IN
In other words , what they will introduce , is most interested in us [MASK] I mean it 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	RP	,	14	1	,
In other words , what they will introduce , is most interested in us , I mean [MASK] 's conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	R	it	17	2	PRP
In other words , what they will introduce , is most interested in us , I mean it [MASK] conflict with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	R	's	18	2	VBZ
In other words , what they will introduce , is most interested in us , I mean it 's [MASK] with your plan , what a pity !	[MASK]	replacement_correction	Chinese	22.00	R	conflict	19	8	NN
In other words , what they will introduce , is most interested in us , I mean it 's conflict with your plan [MASK] what a pity !	[MASK]	replacement_correction	Chinese	22.00	RP	,	23	1	,
In other words , what they will introduce , is most interested in us , I mean it 's conflict with your plan , [MASK] a pity !	[MASK]	replacement_correction	Chinese	22.00	RP	what	24	4	WP
I 'm a beginner [MASK] both activities .	[MASK]	replacement_correction	German	30.0	RT	on	4	2	IN
[MASK] make to profit my ideas my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	To	0	2	TO
To [MASK] to profit my ideas my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	make	1	4	VB
To make [MASK] profit my ideas my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	to	2	2	TO
To make to [MASK] my ideas my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	profit	3	6	VB
To make to profit [MASK] ideas my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	my	4	2	PRP$
To make to profit my [MASK] my parents lived in a small village near a wonderful country .	[MASK]	replacement_correction	French	23.0	R	ideas	5	5	NNS
To make to profit my ideas my parents lived in a small village near a wonderful [MASK] .	[MASK]	replacement_correction	French	23.0	RN	country	16	7	NN
One thing you have not told me is [MASK] I have to pay all things by my own in California or not .	[MASK]	replacement_correction	Spanish	34.0	SX	weather	8	7	JJR
One thing you have not told me is weather I have to pay [MASK] things by my own in California or not .	[MASK]	replacement_correction	Spanish	34.0	R	all	13	3	DT
One thing you have not told me is weather I have to pay all [MASK] by my own in California or not .	[MASK]	replacement_correction	Spanish	34.0	R	things	14	6	NNS
One thing you have not told me is weather I have to pay all things [MASK] my own in California or not .	[MASK]	replacement_correction	Spanish	34.0	R	by	15	2	IN
One thing you have not told me is weather I have to pay all things by [MASK] own in California or not .	[MASK]	replacement_correction	Spanish	34.0	R	my	16	2	PRP$
One thing you have not told me is weather I have to pay all things by my [MASK] in California or not .	[MASK]	replacement_correction	Spanish	34.0	R	own	17	3	JJ
You can imagine how upset we were and we [MASK] you for our reward for the night that we spent .	[MASK]	replacement_correction	Spanish	25.0	TV	asked	9	5	VBD
You can imagine how upset we were and we asked you for our [MASK] for the night that we spent .	[MASK]	replacement_correction	Spanish	25.0	RN	reward	13	6	NN
I was [MASK] delighted to hear about my success in your competition and me winning the prize .	[MASK]	replacement_correction	Russian	37.0	RY	very	2	4	RB
Yes , there is big plus [MASK] big store of course .	[MASK]	replacement_correction	Russian	34.0	RT	for	6	3	IN
There are a lot of [MASK] and item make our chose difficut .	[MASK]	replacement_correction	Turkish	19.0	AGN	option	5	6	NN
There are a lot of option and [MASK] make our chose difficut .	[MASK]	replacement_correction	Turkish	19.0	AGN	item	7	4	NN
There are a lot of option and item [MASK] our chose difficut .	[MASK]	replacement_correction	Turkish	19.0	FV	make	8	4	VBP
There are a lot of option and item make our [MASK] difficut .	[MASK]	replacement_correction	Turkish	19.0	DN	chose	10	5	JJ
There are a lot of option and item make our chose [MASK] .	[MASK]	replacement_correction	Turkish	19.0	S	difficut	11	8	NN
When we are bored and lonely or [MASK] the contrary when we are tired of doing something we dislike .	[MASK]	replacement_correction	Russian	40.00	ID	on	7	2	IN
When we are bored and lonely or on [MASK] contrary when we are tired of doing something we dislike .	[MASK]	replacement_correction	Russian	40.00	ID	the	8	3	DT
When we are bored and lonely or on the [MASK] when we are tired of doing something we dislike .	[MASK]	replacement_correction	Russian	40.00	ID	contrary	9	8	JJ
This secret was an opportunity for Pat [MASK] the best without competition but it is a secret who involved his best friend sexuality , and if Ted was a normal person it will be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	FV	be	7	2	VB
This secret was an opportunity for Pat be the best without competition but it [MASK] a secret who involved his best friend sexuality , and if Ted was a normal person it will be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	TV	is	14	2	VBZ
This secret was an opportunity for Pat be the best without competition but it is a secret [MASK] involved his best friend sexuality , and if Ted was a normal person it will be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	RA	who	17	3	WP
This secret was an opportunity for Pat be the best without competition but it is a secret who involved his best [MASK] sexuality , and if Ted was a normal person it will be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	MP	friend	21	6	NN
This secret was an opportunity for Pat be the best without competition but it is a secret who involved his best friend sexuality , and if Ted [MASK] a normal person it will be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	TV	was	27	3	VBD
This secret was an opportunity for Pat be the best without competition but it is a secret who involved his best friend sexuality , and if Ted was a normal person it [MASK] be fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	TV	will	32	4	MD
This secret was an opportunity for Pat be the best without competition but it is a secret who involved his best friend sexuality , and if Ted was a normal person it will [MASK] fine but he was the example for all school .	[MASK]	replacement_correction	Portuguese	20.0	TV	be	33	2	VB
This secret was an opportunity for Pat be the best without competition but it is a secret who involved his best friend sexuality , and if Ted was a normal person it will be fine but he was [MASK] example for all school .	[MASK]	replacement_correction	Portuguese	20.0	RD	the	38	3	DT
Now , I will answer your [MASK] .	[MASK]	replacement_correction	Spanish	23.0	RN	requests	6	8	NNS
For example , on the leaflet it was written that there [MASK] be stars and artists from around the world but they were only from six different countries .	[MASK]	replacement_correction	Turkish	25.00	TV	will	11	4	MD
Just imagine if one day their husbands lost their jobs [MASK] will those women still thinking shopping is enjoyable !	[MASK]	replacement_correction	Chinese	28.0	RP	,	10	1	,
Just imagine if one day their husbands lost their jobs , [MASK] those women still thinking shopping is enjoyable !	[MASK]	replacement_correction	Chinese	28.0	RP	will	11	4	MD
Just imagine if one day their husbands lost their jobs , will those women still [MASK] shopping is enjoyable !	[MASK]	replacement_correction	Chinese	28.0	TV	thinking	15	8	VBG
Furthermore , I would like to know exactly [MASK] kind of clothes I have to take with and how much money I 'll be supposed to spend there .	[MASK]	replacement_correction	French	29.0	RQ	which	8	5	WDT
Furthermore , I would like to know exactly which kind of clothes I have to take with and how much money [MASK] 'll be supposed to spend there .	[MASK]	replacement_correction	French	29.0	R	I	21	1	PRP
Furthermore , I would like to know exactly which kind of clothes I have to take with and how much money I [MASK] be supposed to spend there .	[MASK]	replacement_correction	French	29.0	R	'll	22	3	MD
Furthermore , I would like to know exactly which kind of clothes I have to take with and how much money I 'll [MASK] supposed to spend there .	[MASK]	replacement_correction	French	29.0	R	be	23	2	VB
Furthermore , I would like to know exactly which kind of clothes I have to take with and how much money I 'll be [MASK] to spend there .	[MASK]	replacement_correction	French	29.0	R	supposed	24	8	VBN
But [MASK] Golf I am a beginner .	[MASK]	replacement_correction	German	30.0	RT	in	1	2	IN
But in [MASK] I am a beginner .	[MASK]	replacement_correction	German	30.0	RP	Golf	2	4	NNP
I worked as a receptionist in the [MASK] room and I needed to look very happy during all time , what was n't very difficult .	[MASK]	replacement_correction	Portuguese	28.0	RP	Vip	7	3	NNP
I worked as a receptionist in the Vip room and I needed to look very happy during all time , [MASK] was n't very difficult .	[MASK]	replacement_correction	Portuguese	28.0	RA	what	20	4	WP
The other thing [MASK] do n't like going shopping is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	I	3	1	PRP
The other thing I [MASK] n't like going shopping is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	do	4	2	VBP
The other thing I do [MASK] like going shopping is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	n't	5	3	RB
The other thing I do n't [MASK] going shopping is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	like	6	4	VB
The other thing I do n't like [MASK] shopping is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	going	7	5	VBG
The other thing I do n't like going [MASK] is in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	shopping	8	8	NN
The other thing I do n't like going shopping [MASK] in the weekend .	[MASK]	replacement_correction	Chinese	22.0	WO	is	9	2	VBZ
The other thing I do n't like going shopping is [MASK] the weekend .	[MASK]	replacement_correction	Chinese	22.0	RT	in	10	2	IN
Living better , people live longer and it is necessary to [MASK] more food , but more food means chemical agents on earth , the circle never stops .	[MASK]	replacement_correction	Portuguese	26.0	DV	product	11	7	NN
The stars and [MASK] are from only six countries , and some concerts take place in small halls .	[MASK]	replacement_correction	German	25.00	FN	artist	3	6	NN
The [MASK] that best suits me is in log cabins , as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times .	[MASK]	replacement_correction	Spanish	40.0	S	accomodation	1	12	NN
The accomodation that best suits me is [MASK] log cabins , as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times .	[MASK]	replacement_correction	Spanish	40.0	R	in	7	2	IN
The accomodation that best suits me is in [MASK] cabins , as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times .	[MASK]	replacement_correction	Spanish	40.0	FN	log	8	3	NN
The accomodation that best suits me is in log [MASK] , as the space in tents is very limited and I am not used to have all my belongings in order and packed at all times .	[MASK]	replacement_correction	Spanish	40.0	FN	cabins	9	6	NNS
The accomodation that best suits me is in log cabins , as the space in tents is very limited and I am not used to [MASK] all my belongings in order and packed at all times .	[MASK]	replacement_correction	Spanish	40.0	FV	have	25	4	VB
Also I would like to tell you which activities I would like to [MASK] and why .	[MASK]	replacement_correction	Russian	24.0	FV	chose	13	5	VB
We asked for it and we were told that there was [MASK] discount neither for her not for anyone else , so I had to pay the full price of the two tickets .	[MASK]	replacement_correction	Spanish	34.0	RD	not	11	3	RB
We asked for it and we were told that there was not discount [MASK] for her not for anyone else , so I had to pay the full price of the two tickets .	[MASK]	replacement_correction	Spanish	34.0	RQ	neither	13	7	NN
We asked for it and we were told that there was not discount neither for her not [MASK] anyone else , so I had to pay the full price of the two tickets .	[MASK]	replacement_correction	Spanish	34.0	RT	for	17	3	IN
[MASK] my parents did not realize how TV was creating a role among us .	[MASK]	replacement_correction	Portuguese	30.0	DY	Unfortunatly	0	12	RB
Unfortunatly my parents did not realize how TV was [MASK] a role among us .	[MASK]	replacement_correction	Portuguese	30.0	RV	creating	9	8	VBG
Marc , one of my friends , hit Mr. Heyman with a bottle and he lost his [MASK] .	[MASK]	replacement_correction	Spanish	26.0	RN	conscience	17	10	NN
[MASK] is also written in your letter that we will have to chance to do two activities .	[MASK]	replacement_correction	Turkish	34.0	RA	It	0	2	PRP
It is also [MASK] in your letter that we will have to chance to do two activities .	[MASK]	replacement_correction	Turkish	34.0	RV	written	3	7	VBN
I think it is an opportunity to meet different people ( even if they are pushing you ) , to understand what they like and what they do n't , because even some [MASK] of food could be in fashing .	[MASK]	replacement_correction	Russian	28.0	FN	kind	33	4	NN
I think it is an opportunity to meet different people ( even if they are pushing you ) , to understand what they like and what they do n't , because even some kind of food [MASK] be in fashing .	[MASK]	replacement_correction	Russian	28.0	TV	could	36	5	MD
I think it is an opportunity to meet different people ( even if they are pushing you ) , to understand what they like and what they do n't , because even some kind of food could be in [MASK] .	[MASK]	replacement_correction	Russian	28.0	S	fashing	39	7	NN
I 'd [MASK] if you give me this information as soon as you can .	[MASK]	replacement_correction	Portuguese	28.0	S	prefere	2	7	VB
I 'd prefere if you [MASK] me this information as soon as you can .	[MASK]	replacement_correction	Portuguese	28.0	TV	give	5	4	VBP
I love sports so I would like to play some basketball at the camp [MASK]	[MASK]	replacement_correction	Spanish	26.0	RP	,	14	1	,
[MASK] the way my team and I won the last scholl championship ,	[MASK]	replacement_correction	Spanish	26.0	RP	by	0	2	IN
by the way my team and I won the last [MASK] championship ,	[MASK]	replacement_correction	Spanish	26.0	S	scholl	10	6	NN
by the way my team and I won the last scholl championship [MASK]	[MASK]	replacement_correction	Spanish	26.0	RP	,	12	1	,
I play guard on my team [MASK]	[MASK]	replacement_correction	Spanish	26.0	RP	,	6	1	,
I also like tennis but I am not very good [MASK]	[MASK]	replacement_correction	Spanish	26.0	RP	,	10	1	,
I was wondering if you could give me some [MASK] while I am there .	[MASK]	replacement_correction	Spanish	26.0	AGN	lesson	9	6	VBP
It was not until the concert that I became a pop [MASK] .	[MASK]	replacement_correction	Korean	39.0	RN	mania	11	5	NN
It started at 20:15 , but it was said that it [MASK] at 19:30 .	[MASK]	replacement_correction	Russian	28.0	TV	starts	11	6	VBZ
I am good at [MASK] on swim .	[MASK]	replacement_correction	Turkish	29.0	R	timing	4	6	VBG
I am good at timing [MASK] swim .	[MASK]	replacement_correction	Turkish	29.0	R	on	5	2	IN
I am good at timing on [MASK] .	[MASK]	replacement_correction	Turkish	29.0	R	swim	6	4	NN
I have just been in tent and I think it is always a beautiful and [MASK] adventure .	[MASK]	replacement_correction	Italian	25.0	RJ	interested	15	10	JJ
First of all , the advertisement [MASK] the show said that Danny Brook was going to be on stage .	[MASK]	replacement_correction	Spanish	28.0	RT	of	6	2	IN
I look forward to [MASK] from you .	[MASK]	replacement_correction	French	24.0	FV	hear	4	4	VB
I would rather be accommodated in a tent because I already have the necessary [MASK] for camping .	[MASK]	replacement_correction	French	27.0	RN	material	14	8	NN
So it would be fine if you [MASK] casual clothes and look smart .	[MASK]	replacement_correction	Chinese	34.00	TV	wear	7	4	VBP
So it would be fine if you wear casual clothes and [MASK] smart .	[MASK]	replacement_correction	Chinese	34.00	TV	look	11	4	VB
Also the most famous star can be unhappy and [MASK] :	[MASK]	replacement_correction	Italian	34.00	S	depresed	9	8	VBD
[MASK] often begins with finding a parking for the car , which can take more than 15 minutes .	[MASK]	replacement_correction	Turkish	31.0	RA	I	0	1	PRP
I often begins with finding a [MASK] for the car , which can take more than 15 minutes .	[MASK]	replacement_correction	Turkish	31.0	RN	parking	6	7	NN
I was very surprised [MASK] the result of the competition .	[MASK]	replacement_correction	German	31.0	RT	on	4	2	IN
If this [MASK] I 'll write you to tell you more .	[MASK]	replacement_correction	Spanish	20.0	AGV	happen	2	6	NN
You ca n't imagine how [MASK] it was !	[MASK]	replacement_correction	French	28.0	RJ	funny	5	5	JJ
and there [MASK] very big Park in the Castle .	[MASK]	replacement_correction	Korean	18.00	AGV	are	2	3	VBP
and there are very big [MASK] in the Castle .	[MASK]	replacement_correction	Korean	18.00	RP	Park	5	4	NN
I mean that you have to wait until the [MASK] came to know if he or she is going to drive you crazy .	[MASK]	replacement_correction	Spanish	32.0	RN	seller	9	6	NN
I mean that you have to wait until the seller [MASK] to know if he or she is going to drive you crazy .	[MASK]	replacement_correction	Spanish	32.0	TV	came	10	4	VBD
The aim of this report is to suggest which activities [MASK] our daily life at school shoud be filmed to give the other students the idea of what we usually do not only during the lessons but also the rest of the time .	[MASK]	replacement_correction	Italian	34.0	RT	of	10	2	IN
The aim of this report is to suggest which activities of our daily life at school [MASK] be filmed to give the other students the idea of what we usually do not only during the lessons but also the rest of the time .	[MASK]	replacement_correction	Italian	34.0	S	shoud	16	5	NN
The aim of this report is to suggest which activities of our daily life at school shoud be filmed to give the other students [MASK] idea of what we usually do not only during the lessons but also the rest of the time .	[MASK]	replacement_correction	Italian	34.0	RD	the	24	3	DT
I would like to know [MASK] type of clothes I will wear there ,	[MASK]	replacement_correction	Portuguese	25.0	RQ	which	5	5	WDT
I would like to know which type of clothes I [MASK] wear there ,	[MASK]	replacement_correction	Portuguese	25.0	TV	will	10	4	MD
I would like to know which type of clothes I will wear there [MASK]	[MASK]	replacement_correction	Portuguese	25.0	RP	,	13	1	,
[MASK] you check the weather forecast for me , please ?	[MASK]	replacement_correction	Portuguese	25.0	RP	would	0	5	MD
